subject,lr,ppg_quality
105014,RL,good
118528,LR,good
123420,LR,good
124826,RL,good
128127,LR,good
129533,RL,good
137027,RL,good
137128,LR,good
138231,RL,good
144832,LR,good
146331,RL,good
150726,LR,good
153833,LR,good
155635,RL,good
161731,RL,good
163331,LR,good
178950,RL,good
180937,LR,good
186141,RL,good
187143,LR,good
194847,LR,good
199251,RL,good
203418,RL,good
214726,RL,good
249947,LR,good
308331,RL,good
433839,RL,good
540436,LR,good
592455,RL,good
601127,LR,good
771354,LR,good
833148,RL,good
837560,LR,good
859671,LR,good
877269,RL,good
889579,LR,good
930449,RL,good
987983,LR,good
