subject,session
A00044084,FLU1
A00050848,FLU1
A00052183,FLU1
A00052237,FLU1
A00055462,FLU2
A00056099,BAS2
A00056306,BAS1
A00057235,BAS1
A00057444,BAS1
A00058214,BAS1
A00058503,BAS1
A00058621,BAS1
A00058999,BAS1
A00059346,BAS1
A00059527,BAS1
A00059756,BAS1
A00060259,BAS1
A00060279,BAS1
A00060372,BAS1
A00060480,BAS1
A00060628,BAS1
A00060630,BAS1
A00060632,BAS1
A00061001,BAS1
A00061276,BAS1
A00061597,BAS1
A00061881,BAS1
A00062210,BAS1
A00062282,BAS1
A00063383,FLU2
A00063450,BAS1
A00065574,BAS1
A00065995,BAS1
A00066153,BAS1
A00066236,BAS1
A00066781,BAS1
A00066926,BAS1
A00073677,BAS1
A00074609,BAS1
A00074962,BAS1
A00075156,BAS1
A00075210,BAS1
A00075653,BAS1
A00077573,BAS1
A00079353,BAS1
A00079715,BAS1
A00081112,BAS1
A00083923,BAS1
A00083952,BAS1
A00086238,BAS1
