subject,scan
sub-pa1372,1
sub-pa1372,2
sub-pa1387,1
sub-pa1387,2
sub-pa1393,1
sub-pa1393,2
sub-pa1416,1
sub-pa1416,2
sub-pa1560,1
sub-pa1560,2
sub-pa1582,1
sub-pa1582,2
sub-pa1604,1
sub-pa1604,2
sub-pa1674,1
sub-pa1674,2
sub-pa1700,1
sub-pa1700,2
sub-pa1792,1
sub-pa1792,2
sub-pa1834,1
sub-pa1834,2
sub-pa1841,1
sub-pa1841,2
sub-pa1859,1
sub-pa1859,2
sub-pa1913,1
sub-pa1913,2
sub-pa1940,1
sub-pa1940,2
sub-pa1978,1
sub-pa1978,2
sub-pa2079,1
sub-pa2079,2
sub-pa2100,1
sub-pa2100,2
sub-pa2196,1
sub-pa2196,2
sub-pa2213,1
sub-pa2213,2
sub-pa2216,1
sub-pa2216,2
sub-pa2220,1
sub-pa2220,2
sub-pa2221,1
sub-pa2221,2
sub-pa2226,1
sub-pa2226,2
